structure_id	structure_name	acronym	loc	acronym_upper	Left_hemisphere	Right_hemisphere	Undefined_hemisphere	source	coldcuts_acronym	coldcuts_id	coldcuts_name	coldcuts
4753	PV-V_V, Right Paravermis	PV	V	PV	FALSE	TRUE	FALSE	ABA_dataset_adult	NA	NA	NA	NA
9703	8Ve_vestibular nuclei, Right	8Ve	NA	8VE	FALSE	TRUE	FALSE	ABA_dataset_adult	NA	NA	NA	NA
4906	TP-s_temporal pole, Right, superior aspect	TP	s	TP	FALSE	TRUE	FALSE	ABA_dataset_adult	TP	12146	temporal pole	TRUE
4069	PaOG_parolfactory gyri, Left	PaOG	NA	PAOG	TRUE	FALSE	FALSE	ABA_dataset_adult	NA	NA	NA	NA
4197	LiG-str_lingual gyrus, Right, striate	LiG	str	LIG	FALSE	TRUE	FALSE	ABA_dataset_adult	LIG	12177	long insular gyri	TRUE
4197	LiG-str_lingual gyrus, Right, striate	LiG	str	LIG	FALSE	TRUE	FALSE	ABA_dataset_adult	LiG	12151	lingual gyrus	TRUE
4727	PV-VIIIB_VIIIB, Left Paravermis	PV	VIIIB	PV	TRUE	FALSE	FALSE	ABA_dataset_adult	NA	NA	NA	NA
9222	cc_corpus callosum	cc	NA	CC	FALSE	FALSE	TRUE	ABA_dataset_adult	cc	10561	corpus callosum	TRUE
4596	LHA_Lateral hypothalamic area, Left	LHA	NA	LHA	TRUE	FALSE	FALSE	ABA_dataset_adult	NA	NA	NA	NA
9207	Pr5_principal sensory nucleus of trigeminal nerve, Left	Pr5	NA	PR5	TRUE	FALSE	FALSE	ABA_dataset_adult	NA	NA	NA	NA
4759	PV-VIIIA_VIIIA, Right Paravermis	PV	VIIIA	PV	FALSE	TRUE	FALSE	ABA_dataset_adult	NA	NA	NA	NA
9144	7_facial motor nucleus, Right	7	NA	7	FALSE	TRUE	FALSE	ABA_dataset_adult	NA	NA	NA	NA
4742	He-VIIIA_VIIIA, Left Lateral Hemisphere	He	VIIIA	HE	TRUE	FALSE	FALSE	ABA_dataset_adult	NA	NA	NA	NA
4099	SPL-i_supraparietal lobule, Left, inferior bank of gyrus	SPL	i	SPL	TRUE	FALSE	FALSE	ABA_dataset_adult	SPL	12133	supraparietal lobule	TRUE
4217	SOG-s_superior occipital gyrus, Right, superior bank of gyrus	SOG	s	SOG	FALSE	TRUE	FALSE	ABA_dataset_adult	SOG	12154	superior occipital gyrus	TRUE
4705	Ve-VI_VI	Ve	VI	VE	FALSE	FALSE	TRUE	ABA_dataset_adult	NA	NA	NA	NA
4106	SMG-s_supramarginal gyrus, Left, superior bank of gyrus	SMG	s	SMG	TRUE	FALSE	FALSE	ABA_dataset_adult	SMG	12135	supramarginal gyrus	TRUE
9534	8Co_cochlear nuclei, Right	8Co	NA	8CO	FALSE	TRUE	FALSE	ABA_dataset_adult	NA	NA	NA	NA
4483	DTP_Posterior Group of Nuclei, Right	DTP	NA	DTP	FALSE	TRUE	FALSE	ABA_dataset_adult	NA	NA	NA	NA
